time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-23T13:28:40.520Z,37.8256667,-121.9793333,6.93,3.31,mw,148,34,0.01943,0.2,nc,nc72974586,2018-02-26T09:13:17.494Z,"2km ENE of Danville, CA",earthquake,0.12,0.17,,4,reviewed,nc,nc
2018-02-23T12:21:37.830Z,37.8371667,-121.9718333,5.56,1.47,md,18,60,0.01802,0.1,nc,nc72974561,2018-02-23T21:58:04.572Z,"1km WNW of Diablo, CA",earthquake,0.23,0.47,0.259,17,reviewed,nc,nc
2018-02-23T12:20:19.140Z,37.8381667,-121.9731667,5.18,1.65,md,24,59,0.01918,0.08,nc,nc72974556,2018-02-23T22:06:03.596Z,"1km WNW of Diablo, CA",earthquake,0.17,0.3,0.235,25,reviewed,nc,nc
2018-02-23T11:29:30.290Z,37.8323333,-121.9771667,6.37,1.44,md,24,60,0.02239,0.12,nc,nc72974551,2018-02-24T00:08:04.249Z,"2km W of Diablo, CA",earthquake,0.25,0.49,0.172,21,reviewed,nc,nc
2018-02-23T11:25:51.760Z,37.8291667,-121.9786667,5.56,1.93,md,45,40,0.02268,0.12,nc,nc72974546,2018-02-28T04:55:02.974Z,"2km WSW of Diablo, CA",earthquake,0.18,0.25,0.309,30,reviewed,nc,nc
2018-02-23T11:24:57.300Z,37.8315,-121.979,5.95,2.81,md,105,45,0.02396,0.14,nc,nc72974536,2018-02-28T04:16:02.877Z,"2km WSW of Diablo, CA",earthquake,0.1,0.15,0.177,71,reviewed,nc,nc
2018-02-23T11:01:20.010Z,37.8308333,-121.9775,6.29,2.03,md,70,44,0.02291,0.14,nc,nc72974521,2018-02-28T04:44:04.176Z,"2km WSW of Diablo, CA",earthquake,0.13,0.18,0.227,54,reviewed,nc,nc
2018-02-23T10:55:52.290Z,37.8371667,-121.9781667,5.59,1.68,md,16,70,0.02301,0.14,nc,nc72974516,2018-02-23T21:44:02.548Z,"2km W of Diablo, CA",earthquake,0.3,0.49,0.135,14,reviewed,nc,nc
2018-02-23T10:55:37.180Z,37.837,-121.9783333,5.02,1.23,md,26,70,0.02313,0.11,nc,nc72974511,2018-02-28T04:11:03.861Z,"2km W of Diablo, CA",earthquake,0.22,0.35,0.217,18,reviewed,nc,nc
2018-02-23T10:52:47.120Z,37.831,-121.9781667,5.95,2.09,md,78,44,0.0234,0.17,nc,nc72974506,2018-02-28T03:49:04.462Z,"2km WSW of Diablo, CA",earthquake,0.13,0.17,0.216,55,reviewed,nc,nc
2018-02-23T10:49:14.010Z,37.8281667,-121.9758333,5.63,1.71,md,45,38,0.02235,0.1,nc,nc72974501,2018-02-28T03:39:03.690Z,"2km WSW of Diablo, CA",earthquake,0.11,0.23,0.153,38,reviewed,nc,nc
2018-02-23T10:32:10.710Z,37.8323333,-121.9796667,5.93,2.6,md,107,47,0.02435,0.16,nc,nc72974491,2018-02-27T07:44:02.721Z,"2km W of Diablo, CA",earthquake,0.12,0.2,0.186,84,reviewed,nc,nc
2018-02-23T09:12:53.730Z,37.833,-121.9805,4.86,2.13,md,34,74,0.02493,0.11,nc,nc72974476,2018-02-27T07:29:03.700Z,"2km W of Diablo, CA",earthquake,0.24,0.32,0.247,27,reviewed,nc,nc
2018-02-23T08:33:34.930Z,37.8311667,-121.9771667,4.02,1.49,md,24,46,0.02259,0.07,nc,nc72974471,2018-02-23T21:02:03.461Z,"2km WSW of Diablo, CA",earthquake,0.16,0.31,0.169,26,reviewed,nc,nc
2018-02-23T07:42:16.550Z,37.8343333,-121.9783333,4.78,1.83,md,38,59,0.02312,0.13,nc,nc72974466,2018-02-24T05:29:02.605Z,"2km W of Diablo, CA",earthquake,0.18,0.32,0.165,26,reviewed,nc,nc
2018-02-23T07:39:33.020Z,37.8308333,-121.9776667,6.12,2.28,md,87,44,0.02304,0.18,nc,nc72974461,2018-02-24T07:59:02.932Z,"2km WSW of Diablo, CA",earthquake,0.14,0.21,0.179,61,reviewed,nc,nc
2018-02-22T02:44:27.770Z,37.8243333,-121.9738333,5.29,1.34,md,11,79,0.07106,0.05,nc,nc72973571,2018-02-22T03:49:03.174Z,"2km SW of Diablo, CA",earthquake,0.26,0.44,0.047,9,reviewed,nc,nc
2018-02-21T05:03:15.110Z,37.8416667,-121.9775,5.51,1.51,md,21,89,0.02325,0.05,nc,nc72973086,2018-02-23T20:50:03.444Z,"2km WNW of Diablo, CA",earthquake,0.2,0.35,0.169,20,reviewed,nc,nc
2018-02-21T04:25:31.050Z,37.8291667,-121.9753333,5.4,1.34,md,17,81,0.02166,0.07,nc,nc72973056,2018-02-23T22:44:02.678Z,"2km WSW of Diablo, CA",earthquake,0.29,0.26,0.174,18,reviewed,nc,nc
2018-02-21T04:22:17.870Z,37.8325,-121.9741667,4.79,1.63,md,22,83,0.02002,0.04,nc,nc72973046,2018-02-23T21:55:02.568Z,"1km W of Diablo, CA",earthquake,0.19,0.31,0.184,22,reviewed,nc,nc
2018-02-21T04:21:23.240Z,37.8303333,-121.9733333,5.09,1.5,md,20,82,0.01982,0.05,nc,nc72973041,2018-02-24T02:09:04.128Z,"1km WSW of Diablo, CA",earthquake,0.21,0.32,0.274,19,reviewed,nc,nc
2018-02-21T04:20:43.950Z,37.8316667,-121.9731667,5.25,1.17,md,21,46,0.01938,0.06,nc,nc72973051,2018-02-22T02:41:03.446Z,"1km WSW of Diablo, CA",earthquake,0.17,0.27,0.137,16,reviewed,nc,nc
2018-02-21T03:00:46.850Z,37.8316667,-121.9715,5.16,1.66,md,19,46,0.01809,0.05,nc,nc72972981,2018-02-24T00:26:03.480Z,"1km WSW of Diablo, CA",earthquake,0.16,0.29,0.15,15,reviewed,nc,nc
2018-02-21T02:16:39.870Z,37.8436667,-121.9853333,6.86,2.75,md,109,53,0.02976,0.17,nc,nc72972971,2018-02-23T15:39:34.065Z,"3km WNW of Diablo, CA",earthquake,0.13,0.17,0.163,98,reviewed,nc,nc
2018-02-21T02:07:23.690Z,37.8398333,-121.9828333,4.57,1.86,md,27,55,0.027,0.04,nc,nc72972966,2018-02-24T01:32:02.629Z,"2km WNW of Diablo, CA",earthquake,0.15,0.21,0.117,23,reviewed,nc,nc
2018-02-21T02:06:30.340Z,37.8446667,-121.9791667,7.72,2.32,md,73,55,0.02544,0.13,nc,nc72972961,2018-02-22T03:52:03.180Z,"2km WNW of Diablo, CA",earthquake,0.13,0.21,0.149,61,reviewed,nc,nc
2018-02-21T01:46:07.140Z,37.831,-121.972,5.34,1.33,md,16,82,0.01863,0.05,nc,nc72972941,2018-02-23T02:23:03.033Z,"1km WSW of Diablo, CA",earthquake,0.24,0.33,0.192,12,reviewed,nc,nc
2018-02-21T00:41:47.360Z,37.8323333,-121.9758333,5.35,1.42,md,15,60,0.07083,0.05,nc,nc72972911,2018-02-21T04:28:01.720Z,"2km W of Diablo, CA",earthquake,0.22,0.44,0.242,14,reviewed,nc,nc
2018-02-20T17:27:20.510Z,37.8441667,-121.9751667,5.47,1.5,md,18,90,0.02232,0.06,nc,nc72972676,2018-02-23T23:43:03.852Z,"2km NW of Diablo, CA",earthquake,0.23,0.28,0.125,14,reviewed,nc,nc
2018-02-20T12:28:43.320Z,37.844,-121.976,5.01,1.44,md,17,85,0.02286,0.08,nc,nc72972586,2018-02-23T01:57:03.984Z,"2km WNW of Diablo, CA",earthquake,0.24,0.28,0.083,9,reviewed,nc,nc
2018-02-20T12:26:03.100Z,37.8468333,-121.981,6.02,2.82,ml,116,55,0.02761,0.16,nc,nc72972581,2018-02-23T20:59:21.396Z,"2km WNW of Diablo, CA",earthquake,0.12,0.18,0.16,44,reviewed,nc,nc
2018-02-20T12:25:43.500Z,37.8435,-121.9733333,5.57,2.63,md,65,58,0.02072,0.09,nc,nc72972576,2018-02-21T17:51:50.701Z,"2km NW of Diablo, CA",earthquake,0.1,0.17,0.287,45,reviewed,nc,nc
2018-02-20T12:25:13.850Z,37.8363333,-121.9781667,5.62,2.53,md,69,55,0.02297,0.14,nc,nc72972571,2018-02-21T03:03:04.599Z,"2km W of Diablo, CA",earthquake,0.18,0.16,0.242,57,reviewed,nc,nc
2018-02-20T09:32:03.860Z,37.8468333,-121.9785,7.12,2.83,md,135,53,0.02582,0.23,nc,nc72972491,2018-02-21T23:12:25.556Z,"2km NW of Diablo, CA",earthquake,0.16,0.22,0.16,90,reviewed,nc,nc
2018-02-19T10:31:16.950Z,37.8426667,-121.9785,6.46,2.4,md,84,56,0.02429,0.15,nc,nc72972136,2018-02-22T00:15:04.623Z,"2km WNW of Diablo, CA",earthquake,0.15,0.19,0.162,68,reviewed,nc,nc
2018-02-19T08:56:33.080Z,37.841,-121.9793333,3.65,1.61,md,18,89,0.0245,0.06,nc,nc72972106,2018-02-23T20:38:01.422Z,"2km WNW of Diablo, CA",earthquake,0.17,0.4,0.158,18,reviewed,nc,nc
2018-02-19T08:49:20.480Z,37.845,-121.9801667,6.33,2.98,md,115,52,0.0263,0.16,nc,nc72972101,2018-02-27T23:12:51.564Z,"2km WNW of Diablo, CA",earthquake,0.14,0.18,0.15,70,reviewed,nc,nc
2018-02-17T23:51:47.290Z,37.8395,-121.9766667,6.59,1.8,md,39,84,0.02213,0.05,nc,nc72971196,2018-02-21T01:59:03.333Z,"2km WNW of Diablo, CA",earthquake,0.14,0.38,0.144,34,reviewed,nc,nc
2018-02-17T13:02:47.750Z,37.8373333,-121.9796667,4.93,1.21,md,17,87,0.02421,0.08,nc,nc72970886,2018-02-21T03:46:03.636Z,"2km W of Diablo, CA",earthquake,0.26,0.33,0.134,11,reviewed,nc,nc
2018-02-17T11:54:13.000Z,37.8403333,-121.9778333,6.6,2.47,md,88,57,0.02319,0.13,nc,nc72970821,2018-02-21T04:19:03.703Z,"2km WNW of Diablo, CA",earthquake,0.13,0.18,0.183,75,reviewed,nc,nc
2018-02-17T03:03:01.050Z,37.8413333,-121.9803333,5.84,1.48,md,17,82,0.02534,0.1,nc,nc72970656,2018-02-17T06:12:03.096Z,"2km WNW of Diablo, CA",earthquake,0.33,0.5,0.118,10,reviewed,nc,nc
2018-02-17T03:01:58.650Z,37.8395,-121.9748333,5.54,2.17,md,59,58,0.0207,0.12,nc,nc72970651,2018-02-19T14:49:12.299Z,"2km WNW of Diablo, CA",earthquake,0.14,0.2,0.214,53,reviewed,nc,nc
2018-02-17T02:35:10.630Z,37.8378333,-121.9811667,5.16,1.67,md,26,56,0.02544,0.06,nc,nc72970636,2018-02-17T04:22:02.740Z,"2km W of Diablo, CA",earthquake,0.15,0.24,0.17,25,reviewed,nc,nc
2018-02-17T02:33:23.470Z,37.836,-121.9773333,4.98,1.54,md,16,55,0.0223,0.09,nc,nc72970631,2018-02-17T04:55:03.815Z,"2km W of Diablo, CA",earthquake,0.24,0.32,0.203,12,reviewed,nc,nc
2018-02-17T02:28:36.960Z,37.836,-121.9768333,4.37,1.27,md,15,86,0.02191,0.06,nc,nc72970626,2018-02-17T06:01:03.073Z,"2km W of Diablo, CA",earthquake,0.27,0.39,0.179,10,reviewed,nc,nc
2018-02-17T02:14:35.230Z,37.8386667,-121.979,5.42,2.12,md,62,57,0.02382,0.12,nc,nc72970621,2018-02-19T14:49:36.658Z,"2km WNW of Diablo, CA",earthquake,0.14,0.2,0.222,60,reviewed,nc,nc
2018-02-17T01:16:50.880Z,37.8351667,-121.9771667,4.18,1.5,md,18,85,0.02217,0.06,nc,nc72970601,2018-02-17T05:50:04.041Z,"2km W of Diablo, CA",earthquake,0.21,0.38,0.237,14,reviewed,nc,nc
2018-02-17T00:26:38.760Z,37.8406667,-121.981,5.91,2.14,md,54,55,0.02572,0.16,nc,nc72970591,2018-02-17T08:29:13.341Z,"2km WNW of Diablo, CA",earthquake,0.17,0.2,0.234,42,reviewed,nc,nc
2018-02-17T00:25:47.490Z,37.8395,-121.9771667,4.82,1.21,md,18,80,0.02252,0.04,nc,nc72970596,2018-02-17T05:44:03.029Z,"2km WNW of Diablo, CA",earthquake,0.23,0.28,0.13,11,reviewed,nc,nc
2018-02-17T00:07:16.580Z,37.8348333,-121.977,4.8,1.3,md,9,85,0.07054,0.04,nc,nc72970586,2018-02-17T05:28:03.995Z,"2km W of Diablo, CA",earthquake,0.3,0.56,0.091,7,reviewed,nc,nc
2018-02-16T23:51:58.260Z,37.8426667,-121.9806667,4.73,1.51,md,16,82,0.02593,0.11,nc,nc72970576,2018-02-17T05:39:04.020Z,"2km WNW of Diablo, CA",earthquake,0.3,0.44,0.148,9,reviewed,nc,nc
2018-02-16T23:51:06.850Z,37.8425,-121.9761667,5.59,2.42,md,60,57,0.02248,0.14,nc,nc72970571,2018-02-17T10:57:49.616Z,"2km WNW of Diablo, CA",earthquake,0.17,0.16,0.215,44,reviewed,nc,nc
2018-02-16T23:50:25.600Z,37.8396667,-121.9763333,6.09,1.87,md,27,81,0.0219,0.07,nc,nc72970566,2018-02-24T00:30:03.489Z,"2km WNW of Diablo, CA",earthquake,0.18,0.32,0.194,21,reviewed,nc,nc
2018-02-16T21:38:35.180Z,37.8396667,-121.9778333,5.66,2.16,md,54,57,0.02307,0.11,nc,nc72970516,2018-02-17T07:15:04.239Z,"2km WNW of Diablo, CA",earthquake,0.14,0.2,0.209,48,reviewed,nc,nc
2018-02-16T21:37:46.900Z,37.841,-121.9773333,5.06,1.46,md,18,81,0.02296,0.12,nc,nc72970521,2018-02-17T04:49:02.805Z,"2km WNW of Diablo, CA",earthquake,0.28,0.36,0.172,10,reviewed,nc,nc
2018-02-16T21:22:16.990Z,37.8428333,-121.9761667,4.81,1.85,md,28,57,0.02258,0.12,nc,nc72970506,2018-02-17T04:11:02.718Z,"2km WNW of Diablo, CA",earthquake,0.19,0.32,0.128,19,reviewed,nc,nc
2018-02-16T21:19:57.770Z,37.8376667,-121.9758333,5.79,2.76,md,75,58,0.02122,0.1,nc,nc72970501,2018-02-20T11:00:07.147Z,"2km W of Diablo, CA",earthquake,0.11,0.14,0.166,74,reviewed,nc,nc
2018-02-16T21:17:43.140Z,37.8396667,-121.9776667,5.93,2.21,md,69,57,0.02294,0.11,nc,nc72970496,2018-02-17T07:00:04.208Z,"2km WNW of Diablo, CA",earthquake,0.12,0.17,0.209,55,reviewed,nc,nc
2018-01-10T07:51:15.780Z,37.8578333,-121.9616667,8.89,1.12,md,15,94,0.02437,0.04,nc,nc72951905,2018-01-13T02:34:03.170Z,"3km N of Diablo, CA",earthquake,0.28,0.35,0.131,12,reviewed,nc,nc
